acousticness;analysis_url;danceability;duration_ms;energy;id;instrumentalness;music_key;liveness;loudness;mode;name;speechiness;tempo;time_signature;track_href;type;uri;valence
0.908;https://api.spotify.com/v1/audio-analysis/34rzJNfTd5e9s3TICFMPD0;0.583;309387;0.191;34rzJNfTd5e9s3TICFMPD0;0.00824;5;0.126;-15.938;1;"O Tannenbaum";0.0404;123.303;4;https://api.spotify.com/v1/tracks/34rzJNfTd5e9s3TICFMPD0;audio_features;spotify:track:34rzJNfTd5e9s3TICFMPD0;0.342
0.254;https://api.spotify.com/v1/audio-analysis/34sOdxWu9FljH84UXdRwu1;0.43;165834;0.692;34sOdxWu9FljH84UXdRwu1;0.00000417;6;0.148;-4.234;1;"all-american bitch";0.0429;156.261;4;https://api.spotify.com/v1/tracks/34sOdxWu9FljH84UXdRwu1;audio_features;spotify:track:34sOdxWu9FljH84UXdRwu1;0.401
0.416;https://api.spotify.com/v1/audio-analysis/34SQ0QfLSR316d8KL2zkuZ;0.558;220893;0.66;34SQ0QfLSR316d8KL2zkuZ;0;7;0.139;-6.223;1;"With You I Am";0.0273;75.009;4;https://api.spotify.com/v1/tracks/34SQ0QfLSR316d8KL2zkuZ;audio_features;spotify:track:34SQ0QfLSR316d8KL2zkuZ;0.388
0.0866;https://api.spotify.com/v1/audio-analysis/34TVXc6sA48aAXRpoK0Wr4;0.646;305766;0.272;34TVXc6sA48aAXRpoK0Wr4;0.0105;0;0.164;-11.481;1;"Grandma (feat. Antwaun Stanley, David T. Walker & James Gadson)";0.0747;135.589;4;https://api.spotify.com/v1/tracks/34TVXc6sA48aAXRpoK0Wr4;audio_features;spotify:track:34TVXc6sA48aAXRpoK0Wr4;0.271
0.929;https://api.spotify.com/v1/audio-analysis/34xTFwjPQ1dC6uJmleno7x;0.399;177922;0.0969;34xTFwjPQ1dC6uJmleno7x;0.000168;6;0.121;-12.578;1;Godspeed;0.0509;109.54;4;https://api.spotify.com/v1/tracks/34xTFwjPQ1dC6uJmleno7x;audio_features;spotify:track:34xTFwjPQ1dC6uJmleno7x;0.0758
0.0682;https://api.spotify.com/v1/audio-analysis/354DcqfZLjPzNZlSfR6o2R;0.46;188187;0.785;354DcqfZLjPzNZlSfR6o2R;0;1;0.0971;-4.72;1;"All I Think About Is You";0.0642;97.948;4;https://api.spotify.com/v1/tracks/354DcqfZLjPzNZlSfR6o2R;audio_features;spotify:track:354DcqfZLjPzNZlSfR6o2R;0.464
0.827;https://api.spotify.com/v1/audio-analysis/357oRj2nlGc9QLjMGifVtS;0.574;224945;0.265;357oRj2nlGc9QLjMGifVtS;0.0000225;6;0.133;-11.3;1;"Better Boat (feat. Mindy Smith)";0.0302;143.808;4;https://api.spotify.com/v1/tracks/357oRj2nlGc9QLjMGifVtS;audio_features;spotify:track:357oRj2nlGc9QLjMGifVtS;0.394
0.581;https://api.spotify.com/v1/audio-analysis/359krpyCKcFF8SFvqWES9L;0.621;232133;0.403;359krpyCKcFF8SFvqWES9L;0;9;0.114;-8.211;1;"Wagon Wheel";0.0359;145.523;4;https://api.spotify.com/v1/tracks/359krpyCKcFF8SFvqWES9L;audio_features;spotify:track:359krpyCKcFF8SFvqWES9L;0.634
0.00795;https://api.spotify.com/v1/audio-analysis/35CC1Zlq9bvr3TkZtnOAv7;0.489;191173;0.967;35CC1Zlq9bvr3TkZtnOAv7;0;7;0.0616;-3.168;1;Walls;0.151;153.034;4;https://api.spotify.com/v1/tracks/35CC1Zlq9bvr3TkZtnOAv7;audio_features;spotify:track:35CC1Zlq9bvr3TkZtnOAv7;0.397
0.0932;https://api.spotify.com/v1/audio-analysis/35Dh5MnCUPLN3XyAVtQff3;0.725;176787;0.668;35Dh5MnCUPLN3XyAVtQff3;0.00000233;5;0.112;-7.286;0;"Do It";0.055;82.966;4;https://api.spotify.com/v1/tracks/35Dh5MnCUPLN3XyAVtQff3;audio_features;spotify:track:35Dh5MnCUPLN3XyAVtQff3;0.566
