acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,music_key,liveness,loudness,mode,name,speechiness,tempo,time_signature,track_href,type,uri,valence
0.701,https://api.spotify.com/v1/audio-analysis/0Eqg0CQ7bK3RQIMPw1A7pl,0.559,286928,0.422,0Eqg0CQ7bK3RQIMPw1A7pl,0.00000199,11,0.0853,-11.89,1,"Malibu Nights",0.195,74.002,4,https://api.spotify.com/v1/tracks/0Eqg0CQ7bK3RQIMPw1A7pl,audio_features,spotify:track:0Eqg0CQ7bK3RQIMPw1A7pl,0.191
0.00662,https://api.spotify.com/v1/audio-analysis/0EYOdF5FCkgOJJla8DI2Md,0.538,255467,0.981,0EYOdF5FCkgOJJla8DI2Md,0,1,0.219,-2.688,0,B.Y.O.B.,0.14,101.414,4,https://api.spotify.com/v1/tracks/0EYOdF5FCkgOJJla8DI2Md,audio_features,spotify:track:0EYOdF5FCkgOJJla8DI2Md,0.711
0.554,https://api.spotify.com/v1/audio-analysis/0fioLzGM8ngbD1w6fMmm45,0.453,239317,0.496,0fioLzGM8ngbD1w6fMmm45,0.0000265,5,0.0772,-5.785,1,"I'm Not The Only One",0.0453,80.994,4,https://api.spotify.com/v1/tracks/0fioLzGM8ngbD1w6fMmm45,audio_features,spotify:track:0fioLzGM8ngbD1w6fMmm45,0.501
0.341,https://api.spotify.com/v1/audio-analysis/0FtuxFKzjbVCQAA3UQZXll,0.756,159813,0.517,0FtuxFKzjbVCQAA3UQZXll,0.0000268,0,0.103,-8.122,1,Crush,0.0996,110.064,1,https://api.spotify.com/v1/tracks/0FtuxFKzjbVCQAA3UQZXll,audio_features,spotify:track:0FtuxFKzjbVCQAA3UQZXll,0.267
0.106,https://api.spotify.com/v1/audio-analysis/0Gi17qCJh9e9RJxLaYkm9l,0.585,260640,0.421,0Gi17qCJh9e9RJxLaYkm9l,0.00000954,7,0.14,-9.593,1,"Dark Times",0.0707,132.986,3,https://api.spotify.com/v1/tracks/0Gi17qCJh9e9RJxLaYkm9l,audio_features,spotify:track:0Gi17qCJh9e9RJxLaYkm9l,0.24
0.00133,https://api.spotify.com/v1/audio-analysis/0Gi5rWVyNQ8JMHsBdx6GJE,0.807,280645,0.891,0Gi5rWVyNQ8JMHsBdx6GJE,0.147,7,0.113,-7.287,1,"Moog For Love - Radio Edit",0.105,124.011,4,https://api.spotify.com/v1/tracks/0Gi5rWVyNQ8JMHsBdx6GJE,audio_features,spotify:track:0Gi5rWVyNQ8JMHsBdx6GJE,0.299
0.76,https://api.spotify.com/v1/audio-analysis/0gkAa32TtaIVoxe2XPT93Z,0.728,287947,0.354,0gkAa32TtaIVoxe2XPT93Z,0,1,0.132,-9.626,1,"That Girl",0.221,132.762,4,https://api.spotify.com/v1/tracks/0gkAa32TtaIVoxe2XPT93Z,audio_features,spotify:track:0gkAa32TtaIVoxe2XPT93Z,0.636
0.00847,https://api.spotify.com/v1/audio-analysis/0GO8y8jQk1PkHzS31d699N,0.56,218013,0.936,0GO8y8jQk1PkHzS31d699N,0,3,0.161,-5.835,1,"Tongue Tied",0.0439,112.96,4,https://api.spotify.com/v1/tracks/0GO8y8jQk1PkHzS31d699N,audio_features,spotify:track:0GO8y8jQk1PkHzS31d699N,0.371
0.297,https://api.spotify.com/v1/audio-analysis/0GOt58dh0JWtCzsXH6wfoB,0.688,204600,0.613,0GOt58dh0JWtCzsXH6wfoB,0,2,0.115,-8.752,1,More,0.0328,115.994,4,https://api.spotify.com/v1/tracks/0GOt58dh0JWtCzsXH6wfoB,audio_features,spotify:track:0GOt58dh0JWtCzsXH6wfoB,0.59
0.129,https://api.spotify.com/v1/audio-analysis/0hbm3jQCSAlC5mqdpUaUYW,0.581,178307,0.736,0hbm3jQCSAlC5mqdpUaUYW,0,9,0.104,-5.899,1,"Girls Like You",0.0413,99.73,4,https://api.spotify.com/v1/tracks/0hbm3jQCSAlC5mqdpUaUYW,audio_features,spotify:track:0hbm3jQCSAlC5mqdpUaUYW,0.729
0.0225,https://api.spotify.com/v1/audio-analysis/0HcMjWR7lvLq6GyZ9XbTEC,0.313,202200,0.785,0HcMjWR7lvLq6GyZ9XbTEC,0.0000067,0,0.171,-6.327,1,"Kidnap Me",0.0583,177.452,4,https://api.spotify.com/v1/tracks/0HcMjWR7lvLq6GyZ9XbTEC,audio_features,spotify:track:0HcMjWR7lvLq6GyZ9XbTEC,0.818
0.541,https://api.spotify.com/v1/audio-analysis/0hFI0GZOZ6fgWHzH4k1CqT,0.701,180108,0.389,0hFI0GZOZ6fgWHzH4k1CqT,0.0261,2,0.121,-8.509,1,"Someone Like",0.0388,63.015,4,https://api.spotify.com/v1/tracks/0hFI0GZOZ6fgWHzH4k1CqT,audio_features,spotify:track:0hFI0GZOZ6fgWHzH4k1CqT,0.637
0.802,https://api.spotify.com/v1/audio-analysis/0HN4joult64RwnGwbu3tkn,0.43,329507,0.171,0HN4joult64RwnGwbu3tkn,0.0000733,7,0.121,-11.705,1,"Love The Lonely Out Of You",0.0389,94.006,4,https://api.spotify.com/v1/tracks/0HN4joult64RwnGwbu3tkn,audio_features,spotify:track:0HN4joult64RwnGwbu3tkn,0.291
0.107,https://api.spotify.com/v1/audio-analysis/0HxW0WWidM937oF7IpWERb,0.646,176413,0.935,0HxW0WWidM937oF7IpWERb,0.000187,11,0.31,-6.356,0,"Burning Love",0.0356,143.016,4,https://api.spotify.com/v1/tracks/0HxW0WWidM937oF7IpWERb,audio_features,spotify:track:0HxW0WWidM937oF7IpWERb,0.972
